# SNIa relative magnitude posterior from GP 
#  redshifts : 0.295, 0.311, 0.35, 0.44, 0.57, 0.6, 0.73, 0.745, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   2.1546909e+01    2.1738669e+01    2.1998023e+01    2.2584781e+01    2.3216731e+01    2.3400727e+01    2.3972755e+01    2.3951442e+01    2.7015191e+01
   2.1554402e+01    2.1650609e+01    2.1962974e+01    2.2557684e+01    2.3252637e+01    2.3407328e+01    2.3875410e+01    2.3960649e+01    2.6950073e+01
   2.1595760e+01    2.1712467e+01    2.1923268e+01    2.2595078e+01    2.3295260e+01    2.3448383e+01    2.3920898e+01    2.4025289e+01    2.6754714e+01
   2.1555863e+01    2.1661186e+01    2.2024535e+01    2.2582967e+01    2.3280098e+01    2.3435846e+01    2.3938771e+01    2.3972798e+01    2.6715665e+01
   2.1542544e+01    2.1697066e+01    2.2048597e+01    2.2671908e+01    2.3329003e+01    2.3458832e+01    2.4016434e+01    2.3998057e+01    2.6763261e+01
   2.1559939e+01    2.1709631e+01    2.1990643e+01    2.2579477e+01    2.3273547e+01    2.3377190e+01    2.3947152e+01    2.3960111e+01    2.6829635e+01
   2.1607652e+01    2.1690393e+01    2.2034903e+01    2.2626251e+01    2.3221194e+01    2.3387890e+01    2.3898026e+01    2.3954381e+01    2.6985547e+01
   2.1551977e+01    2.1651369e+01    2.2007743e+01    2.2572705e+01    2.3255559e+01    2.3443689e+01    2.3893719e+01    2.3953264e+01    2.6889503e+01
   2.1570262e+01    2.1691258e+01    2.1929315e+01    2.2638879e+01    2.3270240e+01    2.3393088e+01    2.3878833e+01    2.3921642e+01    2.6840939e+01
   2.1564726e+01    2.1707471e+01    2.2066469e+01    2.2619938e+01    2.3243684e+01    2.3406558e+01    2.3926207e+01    2.3982922e+01    2.6817487e+01
   2.1526256e+01    2.1739970e+01    2.1972418e+01    2.2654763e+01    2.3205957e+01    2.3470267e+01    2.3947468e+01    2.4023580e+01    2.6807014e+01
   2.1560778e+01    2.1645729e+01    2.1973262e+01    2.2617123e+01    2.3236736e+01    2.3423600e+01    2.3930553e+01    2.4013217e+01    2.6872106e+01
   2.1566340e+01    2.1736417e+01    2.1993695e+01    2.2558527e+01    2.3308101e+01    2.3473830e+01    2.3912467e+01    2.3968664e+01    2.6810112e+01
   2.1570843e+01    2.1645716e+01    2.2024432e+01    2.2606522e+01    2.3199069e+01    2.3416509e+01    2.3898824e+01    2.4001609e+01    2.6862824e+01
   2.1593994e+01    2.1698529e+01    2.1984689e+01    2.2623900e+01    2.3291113e+01    2.3384198e+01    2.3959106e+01    2.3945587e+01    2.6966806e+01
   2.1599000e+01    2.1684840e+01    2.2009114e+01    2.2561434e+01    2.3307070e+01    2.3351598e+01    2.3934597e+01    2.4029250e+01    2.6834597e+01
   2.1580361e+01    2.1700486e+01    2.1959724e+01    2.2617026e+01    2.3274798e+01    2.3395860e+01    2.3958344e+01    2.4035918e+01    2.6719778e+01
   2.1511918e+01    2.1676470e+01    2.1997152e+01    2.2590219e+01    2.3236222e+01    2.3340625e+01    2.3925934e+01    2.3967243e+01    2.6829358e+01
   2.1547399e+01    2.1722351e+01    2.2046695e+01    2.2582350e+01    2.3300283e+01    2.3486609e+01    2.3932751e+01    2.4015370e+01    2.6763391e+01
   2.1553803e+01    2.1749622e+01    2.1990353e+01    2.2552030e+01    2.3270959e+01    2.3370324e+01    2.3913307e+01    2.3991040e+01    2.6756626e+01
   2.1591254e+01    2.1642164e+01    2.1922226e+01    2.2557741e+01    2.3297663e+01    2.3350282e+01    2.3874862e+01    2.3900329e+01    2.6900901e+01
   2.1528771e+01    2.1691951e+01    2.1953981e+01    2.2569628e+01    2.3240878e+01    2.3368897e+01    2.3945772e+01    2.3981670e+01    2.6766918e+01
   2.1529712e+01    2.1720996e+01    2.1961994e+01    2.2619265e+01    2.3287885e+01    2.3444745e+01    2.3945182e+01    2.3950202e+01    2.6846808e+01
   2.1562903e+01    2.1716780e+01    2.1975352e+01    2.2588701e+01    2.3320124e+01    2.3398014e+01    2.3938973e+01    2.3977219e+01    2.6870741e+01
   2.1558979e+01    2.1773069e+01    2.1997298e+01    2.2575132e+01    2.3185277e+01    2.3397272e+01    2.3913899e+01    2.3922799e+01    2.6674375e+01
   2.1579055e+01    2.1649988e+01    2.2033677e+01    2.2575222e+01    2.3271212e+01    2.3384331e+01    2.3956603e+01    2.3989955e+01    2.6802226e+01
   2.1536328e+01    2.1700944e+01    2.2044110e+01    2.2521505e+01    2.3348764e+01    2.3441405e+01    2.3929574e+01    2.3981132e+01    2.6830720e+01
   2.1566258e+01    2.1749542e+01    2.1964554e+01    2.2565068e+01    2.3171523e+01    2.3362601e+01    2.3979577e+01    2.3918758e+01    2.6832467e+01
   2.1573398e+01    2.1655832e+01    2.1941361e+01    2.2503004e+01    2.3256126e+01    2.3331356e+01    2.3943660e+01    2.3959936e+01    2.6661505e+01
   2.1579227e+01    2.1658364e+01    2.2023560e+01    2.2628304e+01    2.3250489e+01    2.3408322e+01    2.3909505e+01    2.3983771e+01    2.6980316e+01
   2.1540183e+01    2.1707474e+01    2.1937565e+01    2.2563248e+01    2.3249699e+01    2.3432421e+01    2.3971578e+01    2.3960888e+01    2.6907620e+01
   2.1550668e+01    2.1683199e+01    2.1990040e+01    2.2589791e+01    2.3338120e+01    2.3431537e+01    2.3911181e+01    2.3920326e+01    2.6831862e+01
   2.1599087e+01    2.1696625e+01    2.1989326e+01    2.2584117e+01    2.3242322e+01    2.3385769e+01    2.3915923e+01    2.3944698e+01    2.6978839e+01
   2.1573018e+01    2.1697422e+01    2.2054568e+01    2.2585049e+01    2.3286042e+01    2.3421395e+01    2.3917921e+01    2.3946619e+01    2.6927045e+01
   2.1584975e+01    2.1725133e+01    2.1958992e+01    2.2578267e+01    2.3241301e+01    2.3347717e+01    2.3934323e+01    2.3962617e+01    2.6853479e+01
   2.1591775e+01    2.1725348e+01    2.1942456e+01    2.2625079e+01    2.3271817e+01    2.3435239e+01    2.3923395e+01    2.3917303e+01    2.6839587e+01
   2.1592676e+01    2.1731720e+01    2.1990277e+01    2.2605080e+01    2.3238188e+01    2.3431676e+01    2.3927504e+01    2.3971799e+01    2.6935751e+01
   2.1588890e+01    2.1708195e+01    2.2046668e+01    2.2599378e+01    2.3276242e+01    2.3387912e+01    2.4058025e+01    2.4037181e+01    2.6953648e+01
   2.1510496e+01    2.1650734e+01    2.2019236e+01    2.2578100e+01    2.3257933e+01    2.3429433e+01    2.3929399e+01    2.3986930e+01    2.6922802e+01
   2.1569059e+01    2.1696787e+01    2.1957829e+01    2.2629630e+01    2.3279395e+01    2.3389249e+01    2.4007548e+01    2.3971263e+01    2.6813064e+01
   2.1570346e+01    2.1723431e+01    2.1967139e+01    2.2579600e+01    2.3255200e+01    2.3363298e+01    2.3882303e+01    2.4025352e+01    2.6809789e+01
   2.1560419e+01    2.1744505e+01    2.2009414e+01    2.2575201e+01    2.3241556e+01    2.3387142e+01    2.3930003e+01    2.3976891e+01    2.6881723e+01
   2.1625433e+01    2.1723373e+01    2.2050828e+01    2.2573516e+01    2.3263307e+01    2.3399578e+01    2.3834956e+01    2.4004928e+01    2.6938713e+01
   2.1541258e+01    2.1637184e+01    2.2032562e+01    2.2584057e+01    2.3223542e+01    2.3342359e+01    2.3943344e+01    2.4005775e+01    2.6898058e+01
   2.1614284e+01    2.1733012e+01    2.2073169e+01    2.2494786e+01    2.3246119e+01    2.3416514e+01    2.3934265e+01    2.3901803e+01    2.6915321e+01
