# SLTD+BAO Angular distance posterior from GP 
#  redshifts : 0.35, 0.44, 0.57, 0.6, 0.73, 2.34 
# 
#        d1               d2               d3               d4               d5               d6               d7               d8               d9
   9.4949970e+02    9.5934052e+02    1.0549991e+03    1.1845267e+03    1.3700618e+03    1.4054901e+03    1.5224214e+03    1.5359990e+03    1.5841941e+03
   9.5001183e+02    9.9582908e+02    1.0704042e+03    1.1941629e+03    1.3494425e+03    1.3742551e+03    1.4497910e+03    1.4632740e+03    1.4697877e+03
   8.8681534e+02    9.1984193e+02    9.9897215e+02    1.1809521e+03    1.3860890e+03    1.4316197e+03    1.5473282e+03    1.5434624e+03    1.5607689e+03
   9.4053206e+02    9.7548400e+02    1.0217361e+03    1.1556566e+03    1.3386902e+03    1.3602280e+03    1.4650282e+03    1.4691373e+03    1.5913853e+03
   9.3280870e+02    9.5491948e+02    1.0287257e+03    1.1998837e+03    1.3886473e+03    1.4116258e+03    1.4977398e+03    1.4870620e+03    1.5671694e+03
   8.9131513e+02    9.3874457e+02    1.0169032e+03    1.1982295e+03    1.4091601e+03    1.4231724e+03    1.5479547e+03    1.5531218e+03    1.6263832e+03
   8.9159598e+02    9.1286249e+02    1.0004319e+03    1.1579281e+03    1.3543805e+03    1.3611400e+03    1.4683036e+03    1.4698893e+03    1.6247302e+03
   8.9588384e+02    9.1846417e+02    1.0246687e+03    1.2023273e+03    1.4021022e+03    1.4504975e+03    1.5809780e+03    1.6025770e+03    1.6051887e+03
   9.2524589e+02    9.4968697e+02    1.0355897e+03    1.1997913e+03    1.3662087e+03    1.4126859e+03    1.5017818e+03    1.4987497e+03    1.6128578e+03
   9.3193048e+02    9.7212037e+02    1.0454406e+03    1.2109355e+03    1.3748786e+03    1.4007820e+03    1.4864688e+03    1.5104584e+03    1.5655464e+03
   8.4991414e+02    8.9835383e+02    9.7917057e+02    1.1597678e+03    1.3879612e+03    1.4339313e+03    1.5667545e+03    1.5728001e+03    1.5086466e+03
   9.2832908e+02    9.7717045e+02    1.0817182e+03    1.2817406e+03    1.4411990e+03    1.4705773e+03    1.5512912e+03    1.5538125e+03    1.5923689e+03
   9.6229111e+02    9.8778634e+02    1.0635904e+03    1.2139406e+03    1.3670216e+03    1.3839973e+03    1.4640314e+03    1.4635460e+03    1.6541830e+03
   9.1708444e+02    9.6108908e+02    1.0435217e+03    1.1909374e+03    1.4197653e+03    1.4373116e+03    1.5650563e+03    1.5959900e+03    1.7265345e+03
   8.8709560e+02    9.2305953e+02    1.0005984e+03    1.1537371e+03    1.3282788e+03    1.3882212e+03    1.5091509e+03    1.5215847e+03    1.5225930e+03
   8.9995782e+02    9.3570642e+02    1.0135302e+03    1.1940337e+03    1.3013400e+03    1.3121040e+03    1.3827806e+03    1.3652490e+03    1.4611106e+03
   9.8679055e+02    9.9892910e+02    1.0829758e+03    1.2121810e+03    1.3560739e+03    1.3726371e+03    1.4561656e+03    1.4468723e+03    1.5251136e+03
   9.6587281e+02    9.8955901e+02    1.0601086e+03    1.1974200e+03    1.3741383e+03    1.4234363e+03    1.5888907e+03    1.5855815e+03    1.5749310e+03
   8.7549505e+02    9.2005611e+02    9.9011288e+02    1.1490486e+03    1.3502567e+03    1.3875791e+03    1.5317916e+03    1.5348492e+03    1.6036664e+03
   9.1305100e+02    9.6219982e+02    1.0277422e+03    1.1895141e+03    1.3690733e+03    1.4035009e+03    1.4769358e+03    1.4928811e+03    1.5815151e+03
   8.7713840e+02    9.1898708e+02    9.8777149e+02    1.1957269e+03    1.3862553e+03    1.3842228e+03    1.5129048e+03    1.5202408e+03    1.6453289e+03
   8.8704261e+02    9.4006723e+02    1.0306673e+03    1.1958928e+03    1.3442795e+03    1.3669269e+03    1.4694579e+03    1.4820985e+03    1.6675789e+03
   8.7272106e+02    8.9394164e+02    9.7292259e+02    1.1399190e+03    1.3170399e+03    1.3729676e+03    1.4682137e+03    1.4771479e+03    1.5643952e+03
   8.6277917e+02    9.0356880e+02    1.0066871e+03    1.2009392e+03    1.3721375e+03    1.4130019e+03    1.4884635e+03    1.4999852e+03    1.5951025e+03
   9.7034237e+02    9.8902506e+02    1.0536989e+03    1.1723119e+03    1.3489537e+03    1.3813502e+03    1.5074837e+03    1.5263210e+03    1.5834439e+03
   9.0962563e+02    9.3719383e+02    1.0120033e+03    1.1659474e+03    1.3169140e+03    1.3657431e+03    1.4322192e+03    1.4338064e+03    1.5900067e+03
   9.7191877e+02    1.0035346e+03    1.0839456e+03    1.2055063e+03    1.3763115e+03    1.4046676e+03    1.5141275e+03    1.5265877e+03    1.5833294e+03
   9.5030496e+02    9.9045619e+02    1.0854000e+03    1.2388929e+03    1.4178863e+03    1.4516074e+03    1.5336895e+03    1.5673797e+03    1.6571272e+03
   8.8225783e+02    9.0649755e+02    1.0025565e+03    1.1713958e+03    1.3759594e+03    1.4033417e+03    1.5513408e+03    1.5731989e+03    1.6146293e+03
   9.2671316e+02    9.7595762e+02    1.0484402e+03    1.2445410e+03    1.3987631e+03    1.4212251e+03    1.5386349e+03    1.5350699e+03    1.5374345e+03
   8.9814793e+02    9.4172825e+02    1.0320321e+03    1.2056648e+03    1.3788568e+03    1.4327806e+03    1.4982287e+03    1.5305805e+03    1.5965978e+03
   8.4776420e+02    8.9098644e+02    9.7381618e+02    1.1570013e+03    1.3655281e+03    1.4052163e+03    1.5581239e+03    1.5554008e+03    1.5687742e+03
   9.3188055e+02    9.5540283e+02    1.0398425e+03    1.2137070e+03    1.3762889e+03    1.4311983e+03    1.5467328e+03    1.5392489e+03    1.5756598e+03
   8.7672720e+02    9.0485734e+02    9.9449797e+02    1.1579848e+03    1.3897498e+03    1.4077897e+03    1.5173406e+03    1.5186794e+03    1.6392821e+03
   9.1005663e+02    9.4105611e+02    1.0194121e+03    1.1817029e+03    1.3216590e+03    1.3478297e+03    1.4368660e+03    1.4463150e+03    1.6127245e+03
   8.9857744e+02    9.1776621e+02    1.0005268e+03    1.1687216e+03    1.3469835e+03    1.3834001e+03    1.4896091e+03    1.4921790e+03    1.5951717e+03
   9.4729721e+02    9.9722739e+02    1.0547176e+03    1.2196729e+03    1.4026245e+03    1.4152591e+03    1.5313234e+03    1.5331424e+03    1.6643528e+03
   8.9424867e+02    9.3292172e+02    1.0380173e+03    1.2012728e+03    1.3755715e+03    1.3998319e+03    1.5120037e+03    1.5151490e+03    1.6441043e+03
   8.6736484e+02    9.4707368e+02    1.0378248e+03    1.2370667e+03    1.4167724e+03    1.4467203e+03    1.5701995e+03    1.5728829e+03    1.6151659e+03
   9.7592392e+02    9.9018003e+02    1.0557146e+03    1.2036312e+03    1.3459815e+03    1.3637816e+03    1.4453650e+03    1.4761860e+03    1.5658351e+03
   8.5553078e+02    8.8544015e+02    9.6801050e+02    1.1323432e+03    1.3579208e+03    1.4085908e+03    1.5360984e+03    1.5357744e+03    1.6759966e+03
   8.9106137e+02    9.4159381e+02    1.0049242e+03    1.1725501e+03    1.3446325e+03    1.3952236e+03    1.5541285e+03    1.5548028e+03    1.6698429e+03
   9.3030071e+02    9.6317029e+02    1.0300822e+03    1.1861528e+03    1.3880987e+03    1.4026801e+03    1.5505622e+03    1.5632860e+03    1.5007383e+03
   9.5944822e+02    1.0100682e+03    1.0734833e+03    1.2633135e+03    1.4089219e+03    1.4592361e+03    1.5756445e+03    1.5698196e+03    1.6529197e+03
   8.9403601e+02    9.4311297e+02    1.0225614e+03    1.1926770e+03    1.3856994e+03    1.4311671e+03    1.5543247e+03    1.5499004e+03    1.5071791e+03
   8.6608720e+02    9.2945574e+02    1.0343589e+03    1.2122013e+03    1.3876525e+03    1.4265939e+03    1.5431045e+03    1.5556248e+03    1.5457857e+03
   8.6601066e+02    9.0028647e+02    1.0041298e+03    1.1844730e+03    1.3544776e+03    1.3997363e+03    1.5222855e+03    1.5472157e+03    1.5964652e+03
   9.0300255e+02    9.4621384e+02    1.0468101e+03    1.2288166e+03    1.4395130e+03    1.4755438e+03    1.5808124e+03    1.5969012e+03    1.4818360e+03
   8.9669856e+02    9.4696543e+02    1.0363415e+03    1.2111168e+03    1.3672566e+03    1.4090928e+03    1.5011006e+03    1.4933396e+03    1.5311853e+03
   8.9041459e+02    9.2850730e+02    1.0143664e+03    1.1913362e+03    1.3847147e+03    1.4100468e+03    1.5556672e+03    1.5541351e+03    1.6441697e+03
   9.2177746e+02    9.6269329e+02    1.0495184e+03    1.2244853e+03    1.4010042e+03    1.4228829e+03    1.5481938e+03    1.5295515e+03    1.5435002e+03
   9.2747061e+02    9.4860091e+02    1.0175230e+03    1.1791422e+03    1.3684136e+03    1.3933244e+03    1.5477659e+03    1.5778939e+03    1.6506707e+03
   9.8270298e+02    1.0303370e+03    1.0763651e+03    1.2050591e+03    1.3570551e+03    1.3813218e+03    1.5084161e+03    1.5083904e+03    1.5828080e+03
   9.4134782e+02    9.7030517e+02    1.0492587e+03    1.1961942e+03    1.3454360e+03    1.3688802e+03    1.4342690e+03    1.4542140e+03    1.5223773e+03
   8.7793725e+02    9.1102618e+02    9.9130162e+02    1.2076776e+03    1.4194993e+03    1.4725926e+03    1.5906478e+03    1.6134516e+03    1.5515031e+03
   8.4265407e+02    8.8908601e+02    1.0000585e+03    1.1936786e+03    1.4212808e+03    1.4460636e+03    1.5697736e+03    1.5868390e+03    1.5729779e+03
   8.7208562e+02    9.3188561e+02    1.0520426e+03    1.2767634e+03    1.5102990e+03    1.5349998e+03    1.6933705e+03    1.6918287e+03    1.6037754e+03
   8.9730382e+02    9.3515488e+02    1.0181426e+03    1.1871614e+03    1.3731736e+03    1.4056574e+03    1.5396956e+03    1.5334775e+03    1.5859434e+03
   9.7140855e+02    1.0008398e+03    1.0732209e+03    1.2090671e+03    1.3564712e+03    1.3705888e+03    1.4803610e+03    1.5075833e+03    1.6822405e+03
   9.1208951e+02    9.5374972e+02    1.0463762e+03    1.2053264e+03    1.3837335e+03    1.4015157e+03    1.4761072e+03    1.5015687e+03    1.5594782e+03
   8.8962179e+02    9.2839474e+02    1.0115838e+03    1.2152923e+03    1.3641604e+03    1.3880984e+03    1.4688119e+03    1.4735710e+03    1.6107443e+03
   8.9070388e+02    9.3783638e+02    1.0358262e+03    1.2017715e+03    1.3940463e+03    1.4264556e+03    1.5623164e+03    1.5846109e+03    1.6669870e+03
   8.8231635e+02    9.4952034e+02    1.0229510e+03    1.2313716e+03    1.4121956e+03    1.4616454e+03    1.5849462e+03    1.6216846e+03    1.5697426e+03
   9.1369914e+02    9.5172112e+02    1.0406555e+03    1.2213301e+03    1.3929600e+03    1.4154957e+03    1.5230556e+03    1.5572416e+03    1.5161151e+03
   8.9268536e+02    9.3810875e+02    1.0210538e+03    1.2041650e+03    1.4221748e+03    1.4706013e+03    1.5665835e+03    1.5759161e+03    1.6085774e+03
   9.0588562e+02    9.4482146e+02    1.0361638e+03    1.1942195e+03    1.3662807e+03    1.3867716e+03    1.4940383e+03    1.5424086e+03    1.5783551e+03
   9.6803214e+02    9.9690500e+02    1.0707036e+03    1.2340220e+03    1.3962180e+03    1.4096927e+03    1.5342845e+03    1.5265528e+03    1.6136312e+03
   9.1823893e+02    9.3162994e+02    1.0266980e+03    1.1836789e+03    1.3805726e+03    1.4245643e+03    1.5744142e+03    1.5790369e+03    1.5761327e+03
   8.6066091e+02    8.9621937e+02    9.8810548e+02    1.1998327e+03    1.4092981e+03    1.4562850e+03    1.6161385e+03    1.6315886e+03    1.5548352e+03
   8.8051632e+02    9.2363863e+02    1.0183694e+03    1.1803088e+03    1.3352244e+03    1.3664796e+03    1.4874980e+03    1.4870184e+03    1.5418372e+03
   8.7267557e+02    9.2613426e+02    1.0293780e+03    1.2185094e+03    1.4543729e+03    1.5075183e+03    1.6241498e+03    1.6482737e+03    1.6063036e+03
   8.6841338e+02    9.0578615e+02    9.8736182e+02    1.1574532e+03    1.3521901e+03    1.4135679e+03    1.5510857e+03    1.5493711e+03    1.6053372e+03
   9.2043868e+02    9.3460009e+02    1.0166047e+03    1.1805290e+03    1.3307465e+03    1.3415370e+03    1.4159682e+03    1.4079177e+03    1.5516266e+03
   8.6163119e+02    9.0439570e+02    9.8786285e+02    1.1687185e+03    1.3503618e+03    1.3888338e+03    1.5220171e+03    1.5230006e+03    1.5100375e+03
   8.9636507e+02    9.5221105e+02    1.0349475e+03    1.2357687e+03    1.4163638e+03    1.4497215e+03    1.5489986e+03    1.5456663e+03    1.5679358e+03
   9.2179209e+02    9.5508079e+02    1.0404801e+03    1.2188501e+03    1.4021618e+03    1.4430318e+03    1.5595893e+03    1.5493353e+03    1.5777393e+03
   8.2065873e+02    8.7932432e+02    9.4692093e+02    1.1281976e+03    1.3312494e+03    1.3755056e+03    1.5210716e+03    1.5322121e+03    1.6848337e+03
   8.8927289e+02    9.2009903e+02    1.0233532e+03    1.1866345e+03    1.3954095e+03    1.4143909e+03    1.5603257e+03    1.5732371e+03    1.5668765e+03
   9.0012701e+02    9.3914054e+02    1.0456870e+03    1.2028549e+03    1.4271272e+03    1.4735679e+03    1.5746332e+03    1.5682784e+03    1.5641226e+03
   8.9438231e+02    9.4358798e+02    9.8668705e+02    1.1389092e+03    1.3161562e+03    1.3391962e+03    1.5019841e+03    1.4981515e+03    1.6003147e+03
   8.2338155e+02    8.4814711e+02    9.3647493e+02    1.1119086e+03    1.3268280e+03    1.3561687e+03    1.5083599e+03    1.5024833e+03    1.4954563e+03
   9.6605094e+02    9.9761496e+02    1.0858571e+03    1.2355019e+03    1.3867618e+03    1.4020750e+03    1.4991589e+03    1.5272923e+03    1.6023858e+03
   9.2969435e+02    9.7646833e+02    1.0348661e+03    1.2026707e+03    1.3815316e+03    1.4086304e+03    1.5209128e+03    1.5211626e+03    1.4975016e+03
